id,name,brand,code,price,stock,category,location,dateAdded
1098,Por quién doblan las campanas,Ernest Hemingway,9780684803357,16.00,4,Clásicos,Estante C22,2024-02-16
1099,El viejo y el mar,Ernest Hemingway,9780684830490,11.00,9,Clásicos,Estante C23,2024-02-16
1100,El sol también sale,Ernest Hemingway,9780743297332,14.00,5,Clásicos,Estante C24,2024-02-17
1101,Adiós a las armas,Ernest Hemingway,9780684801469,13.00,4,Clásicos,Estante C25,2024-02-17
1102,El sonido y la furia,William Faulkner,9780679732242,16.00,3,Clásicos,Estante C26,2024-02-17
1103,Mientras agonizo,William Faulkner,9780679748625,14.00,4,Clásicos,Estante C27,2024-02-18
1104,Las uvas de la ira,John Steinbeck,9780143039433,17.00,5,Clásicos,Estante C28,2024-02-18
1105,De ratones y hombres,John Steinbeck,9780140177398,11.00,7,Clásicos,Estante C29,2024-02-18
1106,Al este del Edén,John Steinbeck,9780142004234,18.00,4,Clásicos,Estante C30,2024-02-19
1107,La cabaña del tío Tom,Harriet Beecher Stowe,9780486440286,13.00,4,Clásicos,Estante C31,2024-02-19
1108,Cumbres borrascosas,Emily Brontë,9780141439556,13.00,5,Clásicos,Estante C32,2024-02-19
1109,Jane Eyre,Charlotte Brontë,9780141441146,14.00,6,Clásicos,Estante C33,2024-02-20
1110,Sentido y sensibilidad,Jane Austen,9780141439662,12.00,5,Clásicos,Estante C34,2024-02-20
1111,Emma,Jane Austen,9780141439587,13.00,4,Clásicos,Estante C35,2024-02-20
1112,Persuasión,Jane Austen,9780141439686,12.00,5,Clásicos,Estante C36,2024-02-21
1113,Grandes esperanzas,Charles Dickens,9780141439563,16.00,6,Clásicos,Estante C37,2024-02-21
1114,Oliver Twist,Charles Dickens,9780141439747,13.00,5,Clásicos,Estante C38,2024-02-21
1115,Historia de dos ciudades,Charles Dickens,9780141439600,14.00,4,Clásicos,Estante C39,2024-02-22
1116,David Copperfield,Charles Dickens,9780141439648,18.00,3,Clásicos,Estante C40,2024-02-22
1117,El médico de su honra,Pedro Calderón de la Barca,9788467030839,10.00,3,Teatro,Estante J3,2024-02-22
1118,Fuenteovejuna,Lope de Vega,9788467031225,10.00,4,Teatro,Estante J4,2024-02-23
1119,La celestina,Fernando de Rojas,9788467033014,11.00,3,Clásicos,Estante C41,2024-02-23
1120,El lazarillo de Tormes,Anónimo,9788467032208,10.00,5,Clásicos,Estante C42,2024-02-23
1121,Poema de Mio Cid,Anónimo,9788467031850,11.00,4,Clásicos,Estante C43,2024-02-24
1122,Rimas y leyendas,Gustavo Adolfo Bécquer,9788467031751,12.00,6,Poesía,Estante T1,2024-02-24
1123,Veinte poemas de amor,Pablo Neruda,9788437604954,11.00,10,Poesía,Estante T2,2024-02-24
1124,Residencia en la tierra,Pablo Neruda,9788437604961,13.00,5,Poesía,Estante T3,2024-02-25
1125,Canto general,Pablo Neruda,9788437604978,14.00,4,Poesía,Estante T4,2024-02-25
1126,Poeta en Nueva York,Federico García Lorca,9788437605951,12.00,5,Poesía,Estante T5,2024-02-25
1127,La casa de Bernarda Alba,Federico García Lorca,9788467030686,10.00,7,Teatro,Estante J5,2024-02-26
1128,Bodas de sangre,Federico García Lorca,9788467030693,10.00,5,Teatro,Estante J6,2024-02-26
1129,Romancero gitano,Federico García Lorca,9788437605944,11.00,6,Poesía,Estante T6,2024-02-26
1130,El llano en llamas,Juan Rulfo,9786071666383,10.00,7,Cuentos,Estante I3,2024-02-27
1131,El túnel,Ernesto Sabato,9788432217869,13.00,5,Ficción,Estante A17,2024-02-27
1132,Sobre héroes y tumbas,Ernesto Sabato,9788432217876,15.00,3,Ficción,Estante A18,2024-02-27
1133,Ficciones,Jorge Luis Borges,9780802130303,13.99,4,Cuentos,Estante I4,2024-02-28
1134,El Aleph,Jorge Luis Borges,9780140280524,13.50,6,Cuentos,Estante I5,2024-02-28
1135,Historias de cronopios y famas,Julio Cortázar,9788437605050,12.00,5,Cuentos,Estante I6,2024-02-28
1136,Casa tomada y otros cuentos,Julio Cortázar,9788437619742,11.00,6,Cuentos,Estante I7,2024-02-29
1137,El amor en los tiempos del cólera,Gabriel García Márquez,9788437604985,16.00,7,Literatura Latinoamericana,Estante A19,2024-02-29
1138,El otoño del patriarca,Gabriel García Márquez,9788437604992,15.00,4,Literatura Latinoamericana,Estante A20,2024-02-29
1139,La hojarasca,Gabriel García Márquez,9788437605005,13.00,5,Literatura Latinoamericana,Estante A21,2024-03-01
1140,La increíble y triste historia de la cándida Eréndira,Gabriel García Márquez,9788437605012,12.00,6,Cuentos,Estante I8,2024-03-01
1141,Primero sueño,Sor Juana Inés de la Cruz,9786071666390,11.00,4,Poesía,Estante T7,2024-03-01
1142,La vorágine,José Eustasio Rivera,9786071666406,13.00,3,Literatura Latinoamericana,Estante A22,2024-03-02
1143,Doña Bárbara,Rómulo Gallegos,9786071666413,14.00,4,Literatura Latinoamericana,Estante A23,2024-03-02
1144,Los de abajo,Mariano Azuela,9786071666420,11.00,5,Literatura Latinoamericana,Estante A24,2024-03-02
1145,La región más transparente,Carlos Fuentes,9786071666437,15.00,3,Literatura Latinoamericana,Estante A25,2024-03-03
1146,Terra nostra,Carlos Fuentes,9786071666444,18.00,2,Literatura Latinoamericana,Estante A26,2024-03-03
1147,El obsceno pájaro de la noche,José Donoso,9789562397001,16.00,3,Literatura Latinoamericana,Estante A27,2024-03-03
1148,Paradiso,José Lezama Lima,9786071666451,17.00,2,Literatura Latinoamericana,Estante A28,2024-03-04
1149,El astillero,Juan Carlos Onetti,9788437605067,14.00,4,Literatura Latinoamericana,Estante A29,2024-03-04
1150,La vida breve,Juan Carlos Onetti,9788437605074,13.00,3,Literatura Latinoamericana,Estante A30,2024-03-04
1151,Boquitas pintadas,Manuel Puig,9789875663527,14.00,5,Literatura Latinoamericana,Estante A31,2024-03-05
1152,El beso de la mujer araña,Manuel Puig,9789875663534,14.00,4,Literatura Latinoamericana,Estante A32,2024-03-05
1153,Respiración artificial,Ricardo Piglia,9789875663541,15.00,3,Literatura Latinoamericana,Estante A33,2024-03-05
1154,La ciudad ausente,Ricardo Piglia,9789875663558,14.00,4,Literatura Latinoamericana,Estante A34,2024-03-06
1155,Santa Evita,Tomás Eloy Martínez,9789875663565,15.00,5,Literatura Latinoamericana,Estante A35,2024-03-06
1156,La novela de Perón,Tomás Eloy Martínez,9789875663572,14.00,3,Literatura Latinoamericana,Estante A36,2024-03-06
1157,El entenado,Juan José Saer,9789875663589,13.00,4,Literatura Latinoamericana,Estante A37,2024-03-07
1158,Nadie nada nunca,Juan José Saer,9789875663596,12.00,3,Literatura Latinoamericana,Estante A38,2024-03-07
1159,Zama,Antonio Di Benedetto,9789875663602,14.00,4,Literatura Latinoamericana,Estante A39,2024-03-07
1160,El juguete rabioso,Roberto Arlt,9789875663619,12.00,5,Literatura Latinoamericana,Estante A40,2024-03-08
1161,Los siete locos,Roberto Arlt,9789875663626,13.00,4,Literatura Latinoamericana,Estante A41,2024-03-08
1162,Adán Buenosayres,Leopoldo Marechal,9789875663633,16.00,2,Literatura Latinoamericana,Estante A42,2024-03-08
1163,El matadero,Esteban Echeverría,9789875663640,9.00,6,Literatura Latinoamericana,Estante A43,2024-03-09
1164,Facundo,Domingo Faustino Sarmiento,9789875663657,12.00,4,Historia,Estante Q3,2024-03-09
1165,Martín Fierro,José Hernández,9789875663664,11.00,7,Poesía,Estante T8,2024-03-09
1166,El gaucho Martín Fierro,José Hernández,9789875663671,11.00,5,Poesía,Estante T9,2024-03-10
1167,El fin de la eternidad,Isaac Asimov,9780765319197,14.00,4,Ciencia Ficción,Estante F8,2024-03-10
1168,Los robots del amanecer,Isaac Asimov,9780553299496,14.50,3,Ciencia Ficción,Estante F9,2024-03-10
1169,El hombre bicentenario,Isaac Asimov,9780553299502,13.50,5,Cuentos,Estante I9,2024-03-11
1170,Yo robot,Isaac Asimov,9780553382563,13.00,6,Ciencia Ficción,Estante F10,2024-03-11
1171,2001 Odisea del espacio,Arthur C. Clarke,9780451457998,14.00,5,Ciencia Ficción,Estante F11,2024-03-11
1172,El fin de la infancia,Arthur C. Clarke,9780345347954,13.50,4,Ciencia Ficción,Estante F12,2024-03-12
1173,Rendez-vous with Rama,Arthur C. Clarke,9780553287899,14.00,3,Ciencia Ficción,Estante F13,2024-03-12
1174,El cuento de los cuentos,Giambattista Basile,9788467033236,15.00,3,Cuentos,Estante I10,2024-03-12
1175,La divina comedia,Dante Alighieri,9780142437223,18.00,4,Clásicos,Estante C44,2024-03-13
1176,Orlando furioso,Ludovico Ariosto,9780199535743,20.00,2,Clásicos,Estante C45,2024-03-13
1177,El decamerón,Giovanni Boccaccio,9780140449303,17.00,3,Clásicos,Estante C46,2024-03-13
1178,Los cuentos de Canterbury,Geoffrey Chaucer,9780140422344,16.00,3,Clásicos,Estante C47,2024-03-14
1179,Beowulf,Anónimo,9780393320978,13.00,4,Clásicos,Estante C48,2024-03-14
1180,Las mil y una noches,Anónimo,9780140441062,19.00,5,Clásicos,Estante C49,2024-03-14
1181,El Quijote de la Mancha (Vol. 1),Miguel de Cervantes,9788467033236,13.00,5,Clásicos,Estante C50,2024-03-15
1182,Novelas ejemplares,Miguel de Cervantes,9788467033243,14.00,4,Clásicos,Estante C51,2024-03-15
1183,El lazarillo de Tormes,Anónimo,9788467032208,10.00,6,Clásicos,Estante C52,2024-03-15
1184,El Buscón,Francisco de Quevedo,9788467033250,11.00,5,Clásicos,Estante C53,2024-03-16
1185,El criticón,Baltasar Gracián,9788437601120,14.00,3,Clásicos,Estante C54,2024-03-16
1186,La Celestina (nueva edición),Fernando de Rojas,9788467033267,12.00,4,Clásicos,Estante C55,2024-03-16
1187,Tirant lo Blanch,Joanot Martorell,9788437606248,20.00,2,Clásicos,Estante C56,2024-03-17
1188,La verdad sospechosa,Juan Ruiz de Alarcón,9788467033274,9.00,4,Teatro,Estante J7,2024-03-17
1189,El sí de las niñas,Leandro Fernández de Moratín,9788467033281,9.00,5,Teatro,Estante J8,2024-03-17
1190,Pepita Jiménez,Juan Valera,9788467033298,12.00,4,Clásicos,Estante C57,2024-03-18
1191,Misericordia,Benito Pérez Galdós,9788467033304,13.00,3,Clásicos,Estante C58,2024-03-18
1192,La regenta,Leopoldo Alas Clarín,9788437601137,16.00,4,Clásicos,Estante C59,2024-03-18
1193,Fortunata y Jacinta,Benito Pérez Galdós,9788467033311,20.00,2,Clásicos,Estante C60,2024-03-19
1194,El árbol de la ciencia,Pío Baroja,9788437601144,13.00,5,Clásicos,Estante C61,2024-03-19
1195,Niebla,Miguel de Unamuno,9788437601151,12.00,5,Clásicos,Estante C62,2024-03-19
1196,Luces de bohemia,Ramón del Valle-Inclán,9788437601168,11.00,4,Teatro,Estante J9,2024-03-20
1197,Campos de Castilla,Antonio Machado,9788437601175,11.00,6,Poesía,Estante T10,2024-03-20
1198,Platero y yo,Juan Ramón Jiménez,9788437601182,10.00,7,Clásicos,Estante C63,2024-03-20
1199,Nada,Carmen Laforet,9788423340453,13.00,5,Ficción,Estante A44,2024-03-21
1200,Los girasoles ciegos,Alberto Méndez,9788433973580,12.00,4,Ficción,Estante A45,2024-03-21
